image,split,true_count,pred_count,abs_pct_error,signed_pct_error,AP@0.5,AP@0.75,AP@0.9,TP@0.5,FP@0.5,FN@0.5
Fo_Pheromone_tube-29118,test,10,10,0.0,0.0,1.0,1.0,0.53846157,10,0,0
Wt 8h OH RB3_C00_ORG_ (2),test,8,8,0.0,0.0,1.0,1.0,0.6,8,0,0
wt 0h-0001,test,55,55,0.0,0.0,0.96428573,0.86440676,0.39240506,54,1,1
MeOH_plate_A2-5945,test,25,25,0.0,0.0,1.0,1.0,0.47058824,25,0,0
SN15-05_C00_ORG,test,12,12,0.0,0.0,0.84615386,0.71428573,0.5,11,1,1
15h wt 3-0170 IMAGEJ ,test,146,134,8.21917808219178,-8.21917808219178,0.8666667,0.61849713,0.12,130,4,16
#78 6h Ctrl RB3_C00_ORG_ (13),test,13,13,0.0,0.0,1.0,0.85714287,0.625,13,0,0
Fo_tube3-0707,test,11,11,0.0,0.0,1.0,0.22222222,0.0,11,0,0
Wt 6h Ctrl RB3_C00_ORG_ (11),test,9,9,0.0,0.0,1.0,1.0,0.6363636,9,0,0
MeOH_tube-18,test,41,41,0.0,0.0,0.95238096,0.90697676,0.4909091,40,1,1
#78 6h Ctrl RB3_C00_ORG_ (7),test,7,7,0.0,0.0,1.0,1.0,0.75,7,0,0
A4_Pheromone_tube-21130,test,103,104,0.9708737864077669,0.9708737864077669,0.9714286,0.9528302,0.84821427,102,2,1
#78 8h OH RB2_C00_ORG_ (6),test,12,12,0.0,0.0,1.0,1.0,0.6,12,0,0
Fo_tube3-2828,test,25,22,12.0,-12.0,0.7407407,0.46875,0.06818182,20,2,5
Fox Vsup 8h (26),test,34,34,0.0,0.0,1.0,0.94285715,0.28301886,34,0,0
MeOH_plate_A2-6440,test,26,26,0.0,0.0,1.0,1.0,0.3,26,0,0
Wt 8h OH RB2_C00_ORG_ (5),test,17,17,0.0,0.0,1.0,0.8888889,0.7,17,0,0
Fox Vsup 8h (15),test,34,31,8.823529411764707,-8.823529411764707,0.9117647,0.9117647,0.44444445,31,0,3
Scrambled_pheromone_tube2-1291,test,11,11,0.0,0.0,1.0,1.0,0.1,11,0,0
Bb_Pheromone_tube-12109,test,7,7,0.0,0.0,1.0,1.0,0.0,7,0,0
Wt 8h Ctrl RB2_C00_ORG_ (13),test,12,12,0.0,0.0,1.0,1.0,0.6,12,0,0
Wt OH 4h RB3_C00_ORG_ (13),test,12,12,0.0,0.0,1.0,1.0,0.84615386,12,0,0
#78 8h Ctrl RB2_C00_ORG_ (5),test,23,24,4.3478260869565215,4.3478260869565215,0.9583333,0.9583333,0.62068963,23,1,0
Fox Vsup 8h (18),test,43,43,0.0,0.0,1.0,1.0,0.56363636,43,0,0
#78 6h IAA RB3_C00_ORG_ (7),test,8,8,0.0,0.0,1.0,1.0,0.23076923,8,0,0
Wt OH 4h RB2_C00_ORG_ (5),test,21,21,0.0,0.0,1.0,0.82608694,0.5,21,0,0
Bb_Pheromone_tube-23120,test,16,15,6.25,-6.25,0.9375,0.9375,0.24,15,0,1
#78 6h Ctrl RB3_C00_ORG_ (23),test,14,14,0.0,0.0,1.0,1.0,0.75,14,0,0
Bb_Pheromone_tube-08105,test,63,63,0.0,0.0,1.0,0.880597,0.34042552,63,0,0
wt 0h-0004,test,48,46,4.166666666666666,-4.166666666666666,0.88,0.7735849,0.32394367,44,2,4
#78 4h IAA RB3_C00_ORG_ (3),test,23,23,0.0,0.0,1.0,1.0,0.64285713,23,0,0
MeOH_tube-08,test,57,56,1.7543859649122806,-1.7543859649122806,0.98245615,0.94827586,0.29885057,56,0,1
#78 Ctrl 4h RB2_C00_ORG_ (1),test,6,6,0.0,0.0,1.0,0.71428573,0.33333334,6,0,0
Scrambled_Pheromone_tube-0279,test,19,19,0.0,0.0,1.0,1.0,0.35714287,19,0,0
SN10_17h-06_C00_ORG,test,63,62,1.5873015873015872,-1.5873015873015872,0.9230769,0.7605634,0.31578946,60,2,3
A4_tube3-0404,test,11,10,9.090909090909092,-9.090909090909092,0.75,0.5,0.10526316,9,1,2
SN6_17h-03_C00_ORG,test,34,33,2.941176470588235,-2.941176470588235,0.9705882,0.8611111,0.1754386,33,0,1
Fo_pheromone_tube2-0767,test,6,8,33.33333333333333,33.33333333333333,0.5555556,0.27272728,0.0,5,3,1
A4_Pheromone_tube-11120,test,9,9,0.0,0.0,1.0,1.0,0.05882353,9,0,0
Bb_pheromone_tube2-0654,test,22,21,4.545454545454546,-4.545454545454546,0.95454544,0.65384614,0.075,21,0,1
Wt 8h OH RB2_C00_ORG_ (10),test,15,14,6.666666666666667,-6.666666666666667,0.8125,0.7058824,0.3809524,13,1,2
Scrambled_pheromone_tube2-1089,test,10,11,10.0,10.0,0.90909094,0.90909094,0.16666667,10,1,0
Wt 8h IAA RB3_C00_ORG_ (13),test,15,14,6.666666666666667,-6.666666666666667,0.93333334,0.93333334,0.7058824,14,0,1
#78 6h Ctrl RB3_C00_ORG_ (25),test,16,17,6.25,6.25,0.9411765,0.9411765,0.8333333,16,1,0
MeOH_tube-07,test,32,30,6.25,-6.25,0.9375,0.8787879,0.3478261,30,0,2
A4_pheromone_tube2-4894,test,20,21,5.0,5.0,0.95238096,0.7826087,0.078947365,20,1,0
#78 6h OH RB2_C00_ORG_ (5),test,17,17,0.0,0.0,1.0,0.8888889,0.7,17,0,0
Bb_pheromone_tube2-1664,test,23,23,0.0,0.0,0.9166667,0.7692308,0.24324325,22,1,1
15h c19 1-0217 IMAGEJ ,test,85,87,2.3529411764705883,2.3529411764705883,0.9770115,0.9770115,0.398374,85,2,0
Bb_pheromone_tube2-0957,test,11,11,0.0,0.0,1.0,0.8333333,0.15789473,11,0,0
MeOH_plate_A2-6737,test,14,14,0.0,0.0,1.0,1.0,0.037037037,14,0,0
wt 0h-0002,test,61,61,0.0,0.0,1.0,0.8208955,0.22,61,0,0
#78 6h Ctrl RB2_C00_ORG_ (7),test,12,12,0.0,0.0,1.0,1.0,0.71428573,12,0,0
ICI wt 2-0014 IMAGEJ,test,43,41,4.651162790697675,-4.651162790697675,0.95348835,0.82608694,0.2923077,41,0,2
15h c19 1-0216 IMAGEJ ,test,80,81,1.25,1.25,0.9634146,0.82954544,0.5188679,79,2,1
A4_tube3-0202,test,8,8,0.0,0.0,1.0,1.0,0.06666667,8,0,0
ICI Dkmt1 1-0044 IMAGEJ,test,41,40,2.4390243902439024,-2.4390243902439024,0.9756098,0.9285714,0.44642857,40,0,1
#78 8h OH RB3_C00_ORG_ (12),test,16,16,0.0,0.0,1.0,1.0,0.68421054,16,0,0
SN22-02_C00_ORG,test,19,19,0.0,0.0,1.0,0.8095238,0.52,19,0,0
A4_Pheromone_tube-14123,test,26,27,3.8461538461538463,3.8461538461538463,0.962963,0.962963,0.51428574,26,1,0
#78 8h OH RB2_C00_ORG_ (3),test,14,14,0.0,0.0,1.0,0.8666667,0.4,14,0,0
Scrambled_pheromone_plate_2-6262,test,6,6,0.0,0.0,1.0,0.71428573,0.2,6,0,0
#78 8h IAA RB2_C00_ORG_ (11),test,17,17,0.0,0.0,1.0,1.0,0.54545456,17,0,0
SN10_17h-04_C00_ORG,test,55,53,3.6363636363636362,-3.6363636363636362,0.9285714,0.8305085,0.2413793,52,1,3
Wt 6h OH RB2_C00_ORG_ (6),test,14,14,0.0,0.0,1.0,1.0,0.47368422,14,0,0
MeOH_tube3-6868,test,12,13,8.333333333333332,8.333333333333332,0.78571427,0.47058824,0.08695652,11,2,1
MeOH_plate_A1-05135,test,13,13,0.0,0.0,0.73333335,0.5294118,0.04,11,2,2
#78 6h OH RB3_C00_ORG_ (11),test,18,18,0.0,0.0,1.0,1.0,0.5,18,0,0
15h c19 2-0223 IMAGEJ ,test,135,131,2.9629629629629632,-2.9629629629629632,0.97037035,0.8095238,0.23148148,131,0,4
A4_pheromone_tube2-3682,test,11,11,0.0,0.0,0.8333333,0.6923077,0.04761905,10,1,1
Fo_tube3-1515,test,31,31,0.0,0.0,1.0,0.8235294,0.1923077,31,0,0
Bb_Pheromone_tube-24121,test,37,37,0.0,0.0,1.0,0.94736844,0.42307693,37,0,0
Wt Ctrl 4h RB3_C00_ORG_ (10),test,11,10,9.090909090909092,-9.090909090909092,0.90909094,0.90909094,0.61538464,10,0,1
15h c19 2-0221 IMAGEJ ,test,44,44,0.0,0.0,1.0,0.95555556,0.22222222,44,0,0
A4_tube3-0303,test,9,9,0.0,0.0,1.0,1.0,0.2857143,9,0,0
A4_tube3-2424,test,49,48,2.0408163265306123,-2.0408163265306123,0.94,0.76363635,0.29333332,47,1,2
MeOH_tube-03,test,9,9,0.0,0.0,1.0,1.0,0.2857143,9,0,0
A4_pheromone_plate_2-3434,test,6,5,16.666666666666664,-16.666666666666664,0.8333333,0.8333333,0.1,5,0,1
Wt 8h OH RB2_C00_ORG_ (1),test,14,14,0.0,0.0,1.0,1.0,0.75,14,0,0
Wt OH 4h RB2_C00_ORG_ (12),test,21,21,0.0,0.0,0.90909094,0.75,0.5,20,1,1
Fo_tube3-1414,test,31,31,0.0,0.0,1.0,0.8235294,0.29166666,31,0,0
