image,split,true_count,pred_count,abs_pct_error,signed_pct_error,AP@0.5,AP@0.75,AP@0.9,TP@0.5,FP@0.5,FN@0.5
#78 8h OH RB3_C00_ORG_ (5),test,10,10,0.0,0.0,1.0,1.0,0.6666667,10,0,0
Fo_pheromone_plate_2-4949,test,6,6,0.0,0.0,1.0,0.71428573,0.09090909,6,0,0
MeOH_tube-11,test,76,76,0.0,0.0,0.9240506,0.9,0.5833333,73,3,3
Fo_pheromone_tube2-1070,test,11,10,9.090909090909092,-9.090909090909092,0.90909094,0.61538464,0.10526316,10,0,1
#78 8h OH RB2_C00_ORG_ (1),test,13,13,0.0,0.0,1.0,1.0,0.5294118,13,0,0
Fox Vsup 8h (1),test,34,35,2.941176470588235,2.941176470588235,0.81578946,0.725,0.18965517,31,4,3
Scrambled_pheromone_plate_2-2929,test,13,13,0.0,0.0,1.0,1.0,0.36842105,13,0,0
Wt 6h OH RB2_C00_ORG_ (1),test,13,13,0.0,0.0,1.0,1.0,0.625,13,0,0
Bb_Pheromone_tube-19116,test,11,11,0.0,0.0,0.8333333,0.8333333,0.29411766,10,1,1
MeOH_tube-15,test,27,27,0.0,0.0,0.9285714,0.86206895,0.3846154,26,1,1
A4_Pheromone_tube-23132,test,54,53,1.8518518518518516,-1.8518518518518516,0.94545454,0.94545454,0.7258065,52,1,2
Bb_pheromone_tube2-3886,test,16,16,0.0,0.0,1.0,1.0,0.10344828,16,0,0
A4_tube3-1212,test,44,39,11.363636363636363,-11.363636363636363,0.8863636,0.84444445,0.40677965,39,0,5
#78 8h OH RB3_C00_ORG_ (11),test,12,12,0.0,0.0,1.0,1.0,0.6,12,0,0
Bb_pheromone_tube2-0553,test,23,23,0.0,0.0,1.0,1.0,0.12195122,23,0,0
Wt 8h IAA RB3_C00_ORG_ (12),test,21,22,4.761904761904762,4.761904761904762,0.95454544,0.95454544,0.72,21,1,0
ICI Dkmt1 2-0048 IMAGEJ,test,41,43,4.878048780487805,4.878048780487805,0.95348835,0.8666667,0.61538464,41,2,0
Wt 8h OH RB3_C00_ORG_ (3),test,10,9,10.0,-10.0,0.72727275,0.72727275,0.72727275,8,1,2
#78 8h Ctrl RB3_C00_ORG_ (3),test,24,24,0.0,0.0,1.0,0.92,0.7777778,24,0,0
#78 4h OH RB2_C00_ORG_ (5),test,20,22,10.0,10.0,0.90909094,0.90909094,0.82608694,20,2,0
A4_pheromone_tube2-0551,test,7,7,0.0,0.0,1.0,1.0,0.16666667,7,0,0
#78 6h OH RB3_C00_ORG_ (7),test,27,27,0.0,0.0,0.9285714,0.9285714,0.45945945,26,1,1
Bb_pheromone_tube2-3381,test,14,14,0.0,0.0,1.0,1.0,0.2173913,14,0,0
#78 6h OH RB2_C00_ORG_ (2),test,11,11,0.0,0.0,1.0,0.6923077,0.375,11,0,0
Scrambled_pheromone_tube2-0988,test,14,14,0.0,0.0,1.0,1.0,0.27272728,14,0,0
Bb_pheromone_tube2-2775,test,10,9,10.0,-10.0,0.9,0.9,0.11764706,9,0,1
MeOH_tube-13,test,65,65,0.0,0.0,1.0,0.969697,0.56626505,65,0,0
#78 Ctrl 4h RB3_C00_ORG_ (13),test,11,12,9.090909090909092,9.090909090909092,0.9166667,0.7692308,0.64285713,11,1,0
#78 OH 4h RB3_C00_ORG_ (8),test,10,10,0.0,0.0,1.0,1.0,0.6666667,10,0,0
#78 6h Ctrl RB3_C00_ORG_ (14),test,17,17,0.0,0.0,1.0,1.0,0.7894737,17,0,0
Fo_pheromone_tube2-0161,test,14,13,7.142857142857142,-7.142857142857142,0.8,0.8,0.08,12,1,2
#78 6h OH RB2_C00_ORG_ (4),test,15,15,0.0,0.0,1.0,1.0,0.875,15,0,0
Fo_tube3-1313,test,25,25,0.0,0.0,1.0,1.0,0.1627907,25,0,0
Bb_pheromone_tube2-1058,test,12,12,0.0,0.0,1.0,0.71428573,0.0,12,0,0
Scrambled_tube3-1717,test,38,35,7.894736842105263,-7.894736842105263,0.825,0.0,0.0,33,2,5
Wt 8h Ctrl RB2_C00_ORG_ (11),test,14,14,0.0,0.0,0.8666667,0.8666667,0.75,13,1,1
#78 OH 4h RB3_C00_ORG_ (10),test,13,13,0.0,0.0,1.0,1.0,1.0,13,0,0
Wt IAA 4h RB2_C00_ORG_ (2),test,15,15,0.0,0.0,1.0,1.0,0.7647059,15,0,0
ICI Dkmt1 2-0053 IMAGE J,test,36,39,8.333333333333332,8.333333333333332,0.875,0.875,0.6666667,35,4,1
#78 OH 4h RB3_C00_ORG_ (12),test,14,14,0.0,0.0,1.0,1.0,0.75,14,0,0
A4_Pheromone_tube-19128,test,53,53,0.0,0.0,1.0,0.92727274,0.6825397,53,0,0
Fo_tube3-3131,test,36,35,2.7777777777777777,-2.7777777777777777,0.9722222,0.9189189,0.42,35,0,1
#78 OH 4h RB3_C00_ORG_ (11),test,10,9,10.0,-10.0,0.9,0.9,0.72727275,9,0,1
#78 8h OH RB2_C00_ORG_ (14),test,22,22,0.0,0.0,0.8333333,0.8333333,0.41935483,20,2,2
Scrambled_Pheromone_tube-15127,test,31,31,0.0,0.0,1.0,1.0,0.31914893,31,0,0
#78 4h IAA RB2_C00_ORG_ (8),test,10,10,0.0,0.0,1.0,1.0,0.05263158,10,0,0
Bb_Pheromone_tube-25122,test,9,9,0.0,0.0,1.0,1.0,0.2,9,0,0
SN10_17h-07_C00_ORG,test,72,69,4.166666666666666,-4.166666666666666,0.9583333,0.88,0.5326087,69,0,3
