plate,well,image,model_count,mcount_count,nice_count,true_count,has_invalid_segment,abs_pct_error,signed_pct_error,mcount_abs_pct_error,mcount_signed_pct_error,nice_abs_pct_error,nice_signed_pct_error,is_training_well
image_3,H12,image_3__H12.jpg,47,46,34,43,True,,,,,,,False
image_4,A1,image_4__A1.jpg,16,16,16,16,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_4,A2,image_4__A2.jpg,11,11,10,11,False,0.0,0.0,0.0,0.0,9.090909090909092,-9.090909090909092,False
image_4,A3,image_4__A3.jpg,14,14,13,14,False,0.0,0.0,0.0,0.0,7.142857142857142,-7.142857142857142,False
image_4,A4,image_4__A4.jpg,20,20,15,20,False,0.0,0.0,0.0,0.0,25.0,-25.0,False
image_4,A5,image_4__A5.jpg,12,12,11,10,True,,,,,,,False
image_4,A6,image_4__A6.jpg,16,15,13,12,True,,,,,,,False
image_4,A7,image_4__A7.jpg,15,17,12,13,True,,,,,,,False
image_4,A8,image_4__A8.jpg,12,13,10,9,True,,,,,,,False
image_4,A9,image_4__A9.jpg,12,14,11,9,True,,,,,,,False
image_4,A10,image_4__A10.jpg,18,19,16,16,True,,,,,,,False
image_4,A11,image_4__A11.jpg,25,25,23,24,True,,,,,,,False
image_4,A12,image_4__A12.jpg,11,11,10,10,True,,,,,,,False
image_4,B1,image_4__B1.jpg,13,13,11,13,False,0.0,0.0,0.0,0.0,15.384615384615385,-15.384615384615385,False
image_4,B2,image_4__B2.jpg,16,17,15,17,False,5.88235294117647,-5.88235294117647,0.0,0.0,11.76470588235294,-11.76470588235294,False
image_4,B3,image_4__B3.jpg,17,18,13,14,True,,,,,,,False
image_4,B4,image_4__B4.jpg,13,13,12,13,False,0.0,0.0,0.0,0.0,7.6923076923076925,-7.6923076923076925,False
image_4,B5,image_4__B5.jpg,17,19,17,15,True,,,,,,,False
image_4,B6,image_4__B6.jpg,14,14,14,10,True,,,,,,,False
image_4,B7,image_4__B7.jpg,19,20,18,15,True,,,,,,,False
image_4,B8,image_4__B8.jpg,10,10,8,10,False,0.0,0.0,0.0,0.0,20.0,-20.0,False
image_4,B9,image_4__B9.jpg,12,15,12,10,True,,,,,,,False
image_4,B10,image_4__B10.jpg,19,21,16,16,True,,,,,,,False
image_4,B11,image_4__B11.jpg,10,13,11,8,True,,,,,,,False
image_4,B12,image_4__B12.jpg,28,30,23,25,True,,,,,,,False
image_4,C1,image_4__C1.jpg,1,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_4,C2,image_4__C2.jpg,19,19,19,16,True,,,,,,,False
image_4,C3,image_4__C3.jpg,25,24,18,25,False,0.0,0.0,4.0,-4.0,28.000000000000004,-28.000000000000004,False
image_4,C4,image_4__C4.jpg,18,21,14,17,True,,,,,,,False
image_4,C5,image_4__C5.jpg,8,8,8,8,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_4,C6,image_4__C6.jpg,15,16,12,13,True,,,,,,,False
image_4,C7,image_4__C7.jpg,13,14,13,12,True,,,,,,,False
image_4,C8,image_4__C8.jpg,15,15,15,14,True,,,,,,,False
image_4,C9,image_4__C9.jpg,7,7,6,7,False,0.0,0.0,0.0,0.0,14.285714285714285,-14.285714285714285,False
image_4,C10,image_4__C10.jpg,10,12,8,6,True,,,,,,,False
image_4,C11,image_4__C11.jpg,23,26,18,17,True,,,,,,,False
image_4,C12,image_4__C12.jpg,16,18,15,13,True,,,,,,,False
image_4,D1,image_4__D1.jpg,15,16,13,14,True,,,,,,,False
image_4,D2,image_4__D2.jpg,11,12,8,9,True,,,,,,,False
image_4,D3,image_4__D3.jpg,27,27,22,27,False,0.0,0.0,0.0,0.0,18.51851851851852,-18.51851851851852,False
image_4,D4,image_4__D4.jpg,19,19,15,19,False,0.0,0.0,0.0,0.0,21.052631578947366,-21.052631578947366,False
image_4,D5,image_4__D5.jpg,15,17,14,13,True,,,,,,,False
image_4,D6,image_4__D6.jpg,17,18,15,15,True,,,,,,,False
image_4,D7,image_4__D7.jpg,20,21,16,14,True,,,,,,,False
image_4,D8,image_4__D8.jpg,8,8,7,7,True,,,,,,,False
image_4,D9,image_4__D9.jpg,13,13,12,14,False,7.142857142857142,-7.142857142857142,7.142857142857142,-7.142857142857142,14.285714285714285,-14.285714285714285,False
image_4,D10,image_4__D10.jpg,22,23,19,16,True,,,,,,,False
image_4,D11,image_4__D11.jpg,14,14,12,13,True,,,,,,,False
image_4,D12,image_4__D12.jpg,10,12,8,9,True,,,,,,,False
image_4,E1,image_4__E1.jpg,15,15,13,15,False,0.0,0.0,0.0,0.0,13.333333333333334,-13.333333333333334,False
image_4,E2,image_4__E2.jpg,14,14,15,14,False,0.0,0.0,0.0,0.0,7.142857142857142,7.142857142857142,False
image_4,E3,image_4__E3.jpg,9,9,9,9,False,0.0,0.0,0.0,0.0,0.0,0.0,False
