plate,well,image,model_count,mcount_count,nice_count,true_count,has_invalid_segment,abs_pct_error,signed_pct_error,mcount_abs_pct_error,mcount_signed_pct_error,nice_abs_pct_error,nice_signed_pct_error,is_training_well
image_2,A2,image_2__A2.jpg,29,28,25,28,False,3.571428571428571,3.571428571428571,0.0,0.0,10.714285714285714,-10.714285714285714,False
image_2,A3,image_2__A3.jpg,17,17,17,17,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,A4,image_2__A4.jpg,23,24,20,23,True,,,,,,,False
image_2,A5,image_2__A5.jpg,8,9,7,7,True,,,,,,,False
image_2,A6,image_2__A6.jpg,13,14,13,9,True,,,,,,,False
image_2,A7,image_2__A7.jpg,10,11,8,8,True,,,,,,,False
image_2,A8,image_2__A8.jpg,22,23,16,19,True,,,,,,,False
image_2,A9,image_2__A9.jpg,13,14,11,9,True,,,,,,,False
image_2,A10,image_2__A10.jpg,19,21,19,14,True,,,,,,,False
image_2,A11,image_2__A11.jpg,14,17,14,9,True,,,,,,,False
image_2,A12,image_2__A12.jpg,17,17,14,16,True,,,,,,,False
image_2,B1,image_2__B1.jpg,30,30,27,32,False,6.25,-6.25,6.25,-6.25,15.625,-15.625,False
image_2,B2,image_2__B2.jpg,22,22,22,22,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,B3,image_2__B3.jpg,21,20,17,21,False,0.0,0.0,4.761904761904762,-4.761904761904762,19.047619047619047,-19.047619047619047,False
image_2,B4,image_2__B4.jpg,21,20,17,21,False,0.0,0.0,4.761904761904762,-4.761904761904762,19.047619047619047,-19.047619047619047,False
image_2,B5,image_2__B5.jpg,23,23,19,23,False,0.0,0.0,0.0,0.0,17.391304347826086,-17.391304347826086,False
image_2,B6,image_2__B6.jpg,15,16,14,12,True,,,,,,,False
image_2,B7,image_2__B7.jpg,19,20,16,17,True,,,,,,,False
image_2,B8,image_2__B8.jpg,11,11,7,11,False,0.0,0.0,0.0,0.0,36.36363636363637,-36.36363636363637,False
image_2,B9,image_2__B9.jpg,20,22,19,19,True,,,,,,,False
image_2,B10,image_2__B10.jpg,20,21,15,17,True,,,,,,,False
image_2,B11,image_2__B11.jpg,25,23,14,19,True,,,,,,,False
image_2,B12,image_2__B12.jpg,24,22,21,21,True,,,,,,,False
image_2,C1,image_2__C1.jpg,1,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,C2,image_2__C2.jpg,19,19,15,19,False,0.0,0.0,0.0,0.0,21.052631578947366,-21.052631578947366,False
image_2,C3,image_2__C3.jpg,21,21,18,20,False,5.0,5.0,5.0,5.0,10.0,-10.0,False
image_2,C4,image_2__C4.jpg,23,24,22,22,True,,,,,,,False
image_2,C5,image_2__C5.jpg,19,21,17,17,True,,,,,,,False
image_2,C6,image_2__C6.jpg,21,21,18,18,True,,,,,,,False
image_2,C7,image_2__C7.jpg,20,20,16,19,True,,,,,,,False
image_2,C8,image_2__C8.jpg,24,23,20,19,True,,,,,,,False
image_2,C9,image_2__C9.jpg,19,20,16,17,True,,,,,,,False
image_2,C10,image_2__C10.jpg,24,24,21,23,True,,,,,,,False
image_2,C11,image_2__C11.jpg,15,18,12,14,True,,,,,,,False
image_2,C12,image_2__C12.jpg,7,7,7,6,True,,,,,,,False
image_2,D1,image_2__D1.jpg,35,34,25,35,False,0.0,0.0,2.857142857142857,-2.857142857142857,28.57142857142857,-28.57142857142857,False
image_2,D2,image_2__D2.jpg,21,21,21,21,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,D3,image_2__D3.jpg,22,22,20,22,False,0.0,0.0,0.0,0.0,9.090909090909092,-9.090909090909092,False
image_2,D4,image_2__D4.jpg,26,25,18,26,False,0.0,0.0,3.8461538461538463,-3.8461538461538463,30.76923076923077,-30.76923076923077,False
image_2,D5,image_2__D5.jpg,19,20,19,21,False,9.523809523809524,-9.523809523809524,4.761904761904762,-4.761904761904762,9.523809523809524,-9.523809523809524,False
image_2,D6,image_2__D6.jpg,18,18,19,19,False,5.263157894736842,-5.263157894736842,5.263157894736842,-5.263157894736842,0.0,0.0,False
image_2,D7,image_2__D7.jpg,15,14,16,14,True,,,,,,,False
